,pair_of_objects,cause_directions,confounders,confidences
0,trick // skater,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
1,sinks // vanity,"['x-is-y', 'y-to-x', 'x-to-y', 'z-to-xy', 'x-to-y']","['bathroom', '', '', 'bathroom', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
2,toiletries // products,"['z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x', 'x-to-y']","['?', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
3,roof // sky,"['z-to-xy', 'x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy']","['?', '', '?', '', 'rain']","['confidence_1', 'confidence_3', 'confidence_1', 'confidence_2', 'confidence_2']"
4,laptops // office,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_1', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
5,fixtures // dishes,"['z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy', 'x-to-y']","['?', 'Kitchen', '', 'kitchen', '']","['confidence_1', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
6,tissues // tissue box,"['x-is-y', 'y-to-x', 'y-to-x', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
7,person // shirt,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
8,table // man,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['?', 'Waiter', '?', '?', '']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_1', 'confidence_2']"
9,farm // hay,"['x-to-y', 'z-to-xy']","['', 'horses']","['confidence_3', 'confidence_2']"
10,face // tree,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['desert', '?', '?', '?', '?', '?', 'Civilization']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_2']"
11,sleeve // shirt,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
12,hat // sky,"['y-to-x', 'z-to-xy']","['', '?']","['confidence_2', 'confidence_3']"
13,layer // blueberry,"['x-to-y', 'z-to-xy']","['', 'pie']","['confidence_1', 'confidence_3']"
14,arm // man,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
15,hand // shoe,"['y-to-x', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', 'human', '', '?', 'Person', 'Human', 'child']","['confidence_1', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
16,wagon // carriage,"['z-to-xy', 'z-to-xy']","['horse', 'transportation']","['confidence_2', 'confidence_1']"
17,handlebar // keys,"['x-to-y', 'z-to-xy']","['', 'biking home']","['confidence_1', 'confidence_3']"
18,players // plant,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['field', '?', '', '?', '?']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_3']"
19,nose // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['rainclouds', '?', '?', 'Pilot', '?']","['confidence_1', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
20,hamburger // fry,"['z-to-xy', 'x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy']","['meal', '', 'FAST FOOD', '', '?']","['confidence_2', 'confidence_1', 'confidence_1', 'confidence_3', 'confidence_2']"
21,electronics // printer,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
